show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s49,Movie,The Human Factor,Alex Rivera,United States,"March 5, 2020",2020,TV-14,82 min,"Documentaries"
s50,TV Show,Laughing Stock,,Canada,"September 20, 2021",2021,TV-14,1 Season,"TV Comedies"
s51,Movie,Beyond Earth,Diana Torres,United States,"July 11, 2019",2019,PG-13,131 min,"Sci-Fi & Fantasy, Action & Adventure"
s52,Movie,The Weight of Light,Ryan Phillips,United States,"November 14, 2021",2021,TV-14,95 min,"Dramas, Independent Movies"
s53,TV Show,Han River Crossing,Ji-hoon Lee,South Korea,"February 28, 2022",2022,TV-MA,2 Seasons,"TV Dramas, International TV Shows"
s54,Movie,Blind Spot,Karen Campbell,United States,"May 7, 2020",2020,R,99 min,"Thrillers, Crime Movies"
s55,Movie,What Remains,Gregory Mitchell,United Kingdom,"August 22, 2019",2019,TV-MA,88 min,"Dramas"
s56,TV Show,Super Friends Adventure,,United States,"January 5, 2021",2020,TV-G,3 Seasons,"Kids' TV"
s57,Movie,Rio After Dark,Fernando Silva,Brazil,"October 9, 2021",2021,TV-MA,112 min,"Dramas, International Movies, Thrillers"
s58,Movie,Neural Link,Susan Parker,United States,"April 20, 2022",2022,PG-13,108 min,"Sci-Fi & Fantasy, Thrillers"
s59,TV Show,The Firm,Mark Evans,United States,"June 30, 2020",2020,TV-MA,4 Seasons,"TV Dramas"
s60,Movie,A Thousand Mornings,Julie Adams,United States,"December 8, 2019",2019,TV-14,97 min,"Dramas, Romantic Movies"
s61,Movie,Tokyo Midnight,Hiro Nakamura,Japan,"March 18, 2021",2021,TV-MA,101 min,"Thrillers, International Movies, Crime Movies"
s62,TV Show,Badge of Honor,Benjamin Turner,United States,"September 12, 2022",2022,TV-14,2 Seasons,"Crime TV Shows, TV Dramas"
s63,Movie,The Haunting of Maple Street,,United States,"October 28, 2020",2020,R,93 min,"Horror Movies"
s64,Movie,Parallel Lives,Stephanie Collins,Canada,"July 15, 2021",2021,PG-13,105 min,"Dramas, Sci-Fi & Fantasy"
s65,TV Show,Kimchi Chronicles,Hyun-woo Choi,South Korea,"February 17, 2020",2019,TV-PG,3 Seasons,"TV Comedies, International TV Shows"
s66,Movie,Critical Mass,Carlos Hernandez,United States,"May 24, 2022",2022,R,118 min,"Action & Adventure, Thrillers"
s67,Movie,The Perfect Match,Ashley Stewart,United States,"November 1, 2021",2021,PG,94 min,"Romantic Movies, Comedies"
s68,TV Show,Dragon Quest Chronicles,Yuki Tanaka,Japan,"August 8, 2020",2020,TV-14,2 Seasons,"Anime Series, TV Sci-Fi & Fantasy, International TV Shows"
s69,Movie,Written in the Stars,Peter Morris,United Kingdom,"January 23, 2023",2022,TV-14,100 min,"Romantic Movies, Dramas"
s70,Movie,Edge of Control,,United States,"April 6, 2019",2019,PG-13,124 min,"Action & Adventure"
s71,TV Show,The Rise and Fall,Rachel Morgan,United States,"June 14, 2021",2021,TV-MA,1 Season,"Docuseries"
s72,Movie,Bollywood Blues,Deepika Malhotra,India,"October 3, 2020",2020,TV-14,138 min,"Comedies, International Movies, Music & Musicals"
s73,Movie,Double Cross,Tyler Reed,United States,"December 15, 2022",2022,R,106 min,"Thrillers, Crime Movies"
s74,TV Show,Family Matters,Natalie Cook,United States,"March 1, 2020",2020,TV-PG,4 Seasons,"TV Dramas, TV Comedies"
s75,Movie,Time Shift,Jason Rogers,United States,"July 28, 2021",2021,PG-13,113 min,"Sci-Fi & Fantasy"
s76,Movie,Blood Moon,Amanda Bell,United States,"October 30, 2019",2019,R,87 min,"Horror Movies, Thrillers"
s77,TV Show,The Magic Garden,,United States,"January 12, 2022",2021,TV-G,2 Seasons,"Kids' TV"
s78,Movie,Lagos Rising,Emeka Okafor,Nigeria,"May 15, 2021",2021,TV-MA,109 min,"Dramas, International Movies"
s79,Movie,Night Strike,Sean Murphy,United States,"August 19, 2020",2020,R,95 min,"Action & Adventure, Thrillers"
s80,TV Show,The Outsiders,Jennifer Cooper,United States,"November 22, 2022",2022,TV-MA,2 Seasons,"TV Dramas, TV Mysteries"
s81,Movie,Before Midnight Strikes,Sophie Laurent,France,"February 5, 2021",2021,TV-14,98 min,"Romantic Movies, International Movies"
s82,Movie,The Missing Hour,William Barnes,United States,"April 27, 2022",2022,TV-MA,103 min,"Thrillers, Crime Movies"
s83,TV Show,Robo Rangers,George Powell,United States,"June 20, 2019",2019,TV-G,3 Seasons,"Kids' TV"
s84,Movie,Shadows on the Wall,,India,"September 5, 2020",2020,TV-14,136 min,"Dramas, International Movies"
s85,Movie,High Voltage,Richard Cooper,United States,"December 3, 2021",2021,PG-13,121 min,"Action & Adventure"
s86,TV Show,Midnight Academy,Akira Suzuki,Japan,"March 14, 2022",2022,TV-14,1 Season,"Anime Series, International TV Shows"
s87,Movie,The Seventh Letter,Sarah Johnson,United States,"July 9, 2020",2020,TV-14,91 min,"Dramas"
s88,Movie,Sao Paulo Stories,Pablo Ramirez,Brazil,"October 18, 2021",2021,TV-MA,115 min,"Dramas, International Movies"
s89,TV Show,Inside the Industry,,United States,"January 30, 2023",2022,TV-14,1 Season,"Docuseries"
s90,Movie,Whispers in the Dark,Michael Chen,United States,"May 6, 2019",2019,R,90 min,"Horror Movies, Thrillers"
s91,Movie,The Last Rickshaw,Raj Patel,India,"August 12, 2022",2022,TV-PG,127 min,"Dramas, International Movies"
s92,TV Show,Criminal Intent,David Park,United States,"November 9, 2020",2020,TV-MA,5 Seasons,"Crime TV Shows, TV Dramas"
s93,Movie,Finding Home,Jennifer Lee,United States,"February 18, 2021",2021,PG,99 min,"Dramas, Romantic Movies"
s94,Movie,Iron Will,James Wilson,Canada,"April 15, 2022",2022,PG-13,109 min,"Action & Adventure, Dramas"
s95,TV Show,The Sacred Thread,Vikram Singh,India,"June 2, 2020",2020,TV-14,3 Seasons,"TV Dramas, International TV Shows"
s96,Movie,Cold Trail,Robert Martinez,United States,"September 28, 2021",2021,R,97 min,"Thrillers, Crime Movies"
s97,Movie,As Luck Would Have It,Amanda Taylor,United Kingdom,"December 22, 2019",2019,PG,103 min,"Comedies, Romantic Movies"
s98,TV Show,Neon Nights,,South Korea,"March 8, 2022",2022,TV-MA,2 Seasons,"TV Dramas, International TV Shows"
s99,Movie,The Architect,Christopher Brown,United States,"July 17, 2020",2020,PG-13,116 min,"Sci-Fi & Fantasy, Thrillers"
s100,Movie,Monsoon Season,Priya Sharma,India,"October 25, 2021",2021,TV-14,142 min,"Dramas, International Movies"
s101,TV Show,The Investigators,Lisa Anderson,United States,"January 8, 2022",2021,TV-MA,3 Seasons,"Crime TV Shows, TV Mysteries"
s102,Movie,Binary Stars,Daniel Kim,United States,"May 20, 2021",2021,PG-13,107 min,"Sci-Fi & Fantasy"
s103,Movie,The Informant,Rachel Thompson,United States,"August 3, 2019",2019,R,101 min,"Thrillers, Crime Movies"
s104,TV Show,Cooking with Heart,,United States,"November 15, 2022",2022,TV-G,1 Season,"Reality TV"
s105,Movie,Under Suspicion,Kevin Nguyen,United States,"February 12, 2020",2020,TV-MA,94 min,"Thrillers, Dramas"
s106,Movie,The Price of Progress,Emily Davis,United States,"April 29, 2021",2021,TV-PG,85 min,"Documentaries"
s107,TV Show,Eternal Flame,Andrew Foster,United Kingdom,"July 5, 2022",2022,TV-14,2 Seasons,"TV Dramas, TV Sci-Fi & Fantasy"
s108,Movie,Fury Road Ahead,Nicole Moore,United States,"October 11, 2020",2020,R,125 min,"Action & Adventure"
s109,Movie,The Ritual,Steven Clark,United States,"December 31, 2021",2021,R,88 min,"Horror Movies"
s110,TV Show,Campus Life,Jennifer White,United States,"March 19, 2019",2019,TV-14,4 Seasons,"TV Comedies, TV Dramas"
s111,Movie,Rice Paper Walls,Hiro Nakamura,Japan,"June 8, 2021",2021,TV-14,109 min,"Dramas, International Movies"
s112,Movie,Terminal Velocity,,United States,"September 14, 2022",2022,PG-13,113 min,"Action & Adventure, Thrillers"
s113,TV Show,The Watchmen Files,Thomas Rodriguez,United States,"January 25, 2020",2020,TV-MA,3 Seasons,"Crime TV Shows, TV Dramas"
s114,Movie,Gravity Falls Apart,Megan Harris,United States,"May 3, 2021",2021,TV-14,96 min,"Dramas, Comedies"
s115,Movie,The Unseen,Patrick O'Brien,United Kingdom,"August 10, 2019",2019,R,91 min,"Horror Movies, Thrillers"
s116,TV Show,Street Food Stories,Samantha Lewis,United States,"November 28, 2022",2022,TV-PG,1 Season,"Docuseries"
s117,Movie,Blackout Protocol,Brian Walker,United States,"February 7, 2021",2021,R,110 min,"Action & Adventure, Thrillers"
s118,Movie,Two of a Kind,Christina Hall,United States,"April 22, 2020",2020,PG,97 min,"Romantic Movies, Comedies"
s119,TV Show,The Precinct,Matthew Young,United States,"July 13, 2022",2022,TV-MA,2 Seasons,"Crime TV Shows, TV Dramas"
s120,Movie,Voices Unheard,,India,"October 6, 2021",2021,TV-14,118 min,"Documentaries, International Movies"
s121,Movie,Burning Target,Laura Allen,United States,"December 18, 2019",2019,PG-13,104 min,"Action & Adventure"
s122,TV Show,Startup Nation,Jonathan King,United States,"March 25, 2022",2022,TV-14,1 Season,"TV Dramas"
s123,Movie,The Way We Were Not,Rebecca Wright,United Kingdom,"June 15, 2020",2020,TV-14,99 min,"Romantic Movies, Dramas"
s124,Movie,Dead End,Eric Scott,United States,"September 8, 2021",2021,R,86 min,"Thrillers, Horror Movies"
s125,TV Show,Home Renovation Wars,,United States,"January 14, 2023",2022,TV-PG,2 Seasons,"Reality TV"
s126,Movie,Night Caller,Michelle Green,United States,"May 17, 2019",2019,R,93 min,"Thrillers, Crime Movies"
s127,Movie,The Longest Night,Alex Rivera,United States,"August 25, 2022",2022,TV-MA,100 min,"Dramas"
s128,TV Show,Kingdom of Shadows,Min-jun Kim,South Korea,"November 4, 2020",2020,TV-MA,3 Seasons,"TV Dramas, International TV Shows, TV Action & Adventure"
s129,Movie,Into the Wild Unknown,Diana Torres,United States,"February 20, 2021",2021,TV-PG,88 min,"Documentaries"
s130,Movie,Last Breath,Ryan Phillips,United States,"April 10, 2022",2022,R,84 min,"Horror Movies"
s131,TV Show,Paris After Hours,Pierre Dubois,France,"July 22, 2020",2020,TV-MA,2 Seasons,"TV Dramas, International TV Shows"
s132,Movie,The Cellar Door,Karen Campbell,United States,"October 29, 2021",2021,R,89 min,"Horror Movies, Thrillers"
s133,Movie,Parallel Dimension,,United States,"December 5, 2019",2019,PG-13,119 min,"Sci-Fi & Fantasy"
s134,TV Show,Medical Frontline,Gregory Mitchell,United States,"March 12, 2022",2022,TV-14,3 Seasons,"TV Dramas"
s135,Movie,The Last Signal,Susan Parker,United States,"June 28, 2021",2021,PG-13,106 min,"Sci-Fi & Fantasy, Thrillers"
s136,Movie,Carnaval,Rosa Delgado,Brazil,"September 22, 2020",2020,TV-14,123 min,"Comedies, International Movies, Music & Musicals"
s137,TV Show,Apartment 4B,Mark Evans,United States,"January 3, 2023",2022,TV-14,1 Season,"TV Comedies"
s138,Movie,The Inside Man,Julie Adams,United States,"May 9, 2019",2019,R,108 min,"Thrillers, Crime Movies"
s139,Movie,Dark Matter Rising,Benjamin Turner,United States,"August 17, 2022",2022,PG-13,121 min,"Sci-Fi & Fantasy, Action & Adventure"
s140,TV Show,Behind the Badge,,United States,"November 21, 2020",2020,TV-MA,4 Seasons,"Crime TV Shows, TV Dramas"
s141,Movie,My Crazy Neighbor,Stephanie Collins,United States,"February 14, 2021",2021,PG,95 min,"Comedies"
s142,Movie,The Final Frontier,Carlos Hernandez,United States,"April 26, 2022",2022,TV-PG,90 min,"Documentaries"
s143,TV Show,The Empress,Anna Schmidt,Germany,"July 8, 2020",2020,TV-MA,2 Seasons,"TV Dramas, International TV Shows"
s144,Movie,Second Chance Summer,Ashley Stewart,United States,"October 15, 2021",2021,PG,101 min,"Romantic Movies, Comedies"
s145,Movie,Beyond the Frame,Peter Morris,United Kingdom,"December 12, 2019",2019,TV-14,84 min,"Documentaries"
s146,TV Show,Taco Truck Wars,Rachel Morgan,United States,"March 5, 2022",2022,TV-PG,1 Season,"Reality TV"
s147,Movie,Full House Rules,,United States,"June 21, 2021",2021,PG-13,98 min,"Comedies"
s148,Movie,The Wedding Planner Files,Tyler Reed,United States,"September 3, 2020",2020,PG,107 min,"Romantic Movies, Comedies"
s149,TV Show,Gangland Chronicles,Natalie Cook,United States,"January 18, 2023",2022,TV-MA,2 Seasons,"Crime TV Shows, TV Dramas"
s150,Movie,Just My Luck,Jason Rogers,United States,"May 12, 2019",2019,PG,92 min,"Comedies, Romantic Movies"
s151,Movie,Practically Perfect,Amanda Bell,United Kingdom,"August 6, 2022",2022,TV-PG,96 min,"Comedies"
s152,TV Show,Spirit Warriors,Kenji Watanabe,Japan,"November 11, 2020",2020,TV-14,3 Seasons,"Anime Series, TV Action & Adventure, International TV Shows"
s153,Movie,The Odd Couple Out,Sean Murphy,United States,"February 22, 2021",2021,PG-13,94 min,"Comedies"
s154,Movie,How to Lose Everything,,United States,"April 8, 2022",2022,TV-14,88 min,"Comedies, Dramas"
s155,TV Show,Tech Titans,Jennifer Cooper,United States,"July 1, 2020",2020,TV-14,4 Seasons,"TV Dramas"
s156,Movie,Breaking Ground,William Barnes,United States,"October 19, 2021",2021,TV-PG,82 min,"Documentaries"
s157,Movie,Points of View,George Powell,United States,"December 27, 2019",2019,TV-14,86 min,"Documentaries"
s158,TV Show,Undercover Operations,Richard Cooper,United States,"March 16, 2022",2022,TV-MA,2 Seasons,"Crime TV Shows, TV Action & Adventure"
s159,Movie,Crimson Tide Rising,Sarah Johnson,United States,"June 10, 2021",2021,R,111 min,"Horror Movies, Thrillers"
s160,Movie,Untold Stories,Michael Chen,United States,"September 18, 2020",2020,TV-14,79 min,"Documentaries"
s161,TV Show,The Vineyard,Maria Garcia,United States,"January 7, 2023",2022,TV-14,1 Season,"TV Dramas, Romantic TV Shows"
s162,Movie,Mexico City Blues,Pablo Ramirez,Mexico,"May 22, 2019",2019,TV-MA,105 min,"Dramas, International Movies, Music & Musicals"
s163,Movie,The Entity,James Wilson,United States,"August 30, 2022",2022,R,87 min,"Horror Movies, Sci-Fi & Fantasy"
s164,TV Show,Dream Kitchen,,United States,"November 5, 2020",2020,TV-G,3 Seasons,"Reality TV"
s165,Movie,Searching for Truth,Robert Martinez,United States,"February 15, 2021",2021,TV-PG,91 min,"Documentaries, Dramas"
s166,Movie,The Bengal Tiger,Arjun Reddy,India,"April 18, 2022",2022,TV-14,145 min,"Action & Adventure, International Movies"
s167,TV Show,Cipher,Amanda Taylor,United States,"July 25, 2020",2020,TV-MA,2 Seasons,"TV Sci-Fi & Fantasy, TV Dramas"
s168,Movie,Frozen Hearts,Christopher Brown,Canada,"October 8, 2021",2021,PG-13,102 min,"Romantic Movies, Dramas"
s169,Movie,The Stand-Up,Lisa Anderson,United States,"December 14, 2019",2019,TV-MA,76 min,"Stand-Up Comedy"
s170,TV Show,Lagos Life,Chioma Adeyemi,Nigeria,"March 27, 2022",2022,TV-14,1 Season,"TV Comedies, International TV Shows"
s171,Movie,Shadow Dancer,,India,"June 5, 2021",2021,TV-MA,132 min,"Dramas, International Movies, Thrillers"
s172,Movie,Full Circle,Daniel Kim,United States,"September 11, 2020",2020,TV-14,98 min,"Dramas"
s173,TV Show,The Retreat,Rachel Thompson,United States,"January 20, 2023",2022,TV-MA,2 Seasons,"TV Dramas, TV Mysteries"
s174,Movie,Barcelona Nights,Lucia Torres,Spain,"May 4, 2019",2019,TV-14,110 min,"Dramas, International Movies, Romantic Movies"
s175,Movie,Extraction Zone,Kevin Nguyen,United States,"August 16, 2022",2022,R,115 min,"Action & Adventure, Thrillers"
s176,TV Show,Bake Off Champions,,United States,"November 18, 2020",2020,TV-G,4 Seasons,"Reality TV"
s177,Movie,The Waiting Room,Emily Davis,United States,"February 8, 2021",2021,TV-14,89 min,"Dramas"
s178,Movie,Rangoli,Neha Kapoor,India,"April 24, 2022",2022,TV-PG,137 min,"Comedies, International Movies"
s179,TV Show,The Scandal,Andrew Foster,United States,"July 14, 2020",2020,TV-MA,5 Seasons,"TV Dramas"
s180,Movie,Stand-Up Spotlight,Nicole Moore,United States,"October 22, 2021",2021,TV-MA,68 min,"Stand-Up Comedy"
s181,Movie,The Promised Land,Steven Clark,United States,"December 9, 2019",2019,PG-13,118 min,"Dramas"
s182,TV Show,Samurai Chronicles,Akira Suzuki,Japan,"March 10, 2022",2022,TV-MA,2 Seasons,"Anime Series, International TV Shows, TV Action & Adventure"
s183,Movie,First Snow,Jennifer White,Canada,"June 18, 2021",2021,TV-14,94 min,"Dramas, Romantic Movies"
s184,Movie,Abuja Dreams,Emeka Okafor,Nigeria,"September 25, 2020",2020,TV-14,108 min,"Dramas, International Movies"
s185,TV Show,Wall Street Wolves,,United States,"January 13, 2023",2022,TV-MA,1 Season,"TV Dramas"
s186,Movie,The Conductor,Thomas Rodriguez,United States,"May 16, 2019",2019,TV-PG,106 min,"Dramas, Music & Musicals"
s187,Movie,Pandemonium,Megan Harris,United States,"August 21, 2022",2022,R,92 min,"Action & Adventure, Comedies"
s188,TV Show,Lost in Seoul,Ji-hoon Lee,South Korea,"November 12, 2020",2020,TV-14,3 Seasons,"TV Comedies, International TV Shows"
s189,Movie,Desert Storm,Patrick O'Brien,United States,"February 26, 2021",2021,PG-13,128 min,"Action & Adventure, Dramas"
s190,Movie,The Art of War,Samantha Lewis,United States,"April 5, 2022",2022,TV-MA,100 min,"Documentaries"
s191,TV Show,Emergency Room,Brian Walker,United States,"July 30, 2020",2020,TV-14,4 Seasons,"TV Dramas"
s192,Movie,Love at First Sight,,United Kingdom,"October 14, 2021",2021,PG,95 min,"Romantic Movies, Comedies"
s193,Movie,Nollywood Nights,Nkechi Eze,Nigeria,"December 20, 2019",2019,TV-14,112 min,"Comedies, International Movies"
s194,TV Show,The Compound,Christina Hall,United States,"March 22, 2022",2022,TV-MA,2 Seasons,"TV Dramas, TV Sci-Fi & Fantasy"
s195,Movie,Above the Clouds,Matthew Young,United States,"June 12, 2021",2021,TV-PG,84 min,"Documentaries"
s196,Movie,The Arrangement Falls Apart,Laura Allen,United States,"September 7, 2020",2020,TV-14,97 min,"Dramas, Comedies"
s197,TV Show,Culinary Masters,Jonathan King,United States,"January 6, 2023",2022,TV-PG,1 Season,"Reality TV"
s198,Movie,Sahara Crossing,Rebecca Wright,United Kingdom,"May 28, 2019",2019,PG-13,122 min,"Action & Adventure, Dramas"
s199,Movie,Dark Waters,Eric Scott,United States,"August 9, 2022",2022,R,98 min,"Thrillers"
s200,TV Show,The Mentalist Files,,United States,"November 24, 2020",2020,TV-MA,3 Seasons,"Crime TV Shows, TV Mysteries"
s201,Movie,Berlin Wall Stories,Hans Mueller,Germany,"February 11, 2021",2021,TV-14,104 min,"Dramas, International Movies"
s202,Movie,Laughing Matters,Michelle Green,United States,"April 14, 2022",2022,TV-MA,72 min,"Stand-Up Comedy"
s203,TV Show,Coast Guard,Alex Rivera,United States,"July 19, 2020",2020,TV-14,2 Seasons,"TV Action & Adventure, TV Dramas"
s204,Movie,The Wanderer,Diana Torres,United States,"October 1, 2021",2021,PG-13,110 min,"Dramas"
s205,Movie,Favela Rising,Fernando Silva,Brazil,"December 28, 2019",2019,TV-MA,117 min,"Dramas, International Movies"
s206,TV Show,Homicide Division,Ryan Phillips,United States,"March 15, 2022",2022,TV-MA,3 Seasons,"Crime TV Shows, TV Dramas"
s207,Movie,The Piano Teacher,Karen Campbell,France,"June 22, 2021",2021,R,96 min,"Dramas, International Movies"
s208,Movie,Just Breathe,,United States,"September 15, 2020",2020,TV-14,88 min,"Dramas"
s209,TV Show,The Next Step,Gregory Mitchell,United States,"January 22, 2023",2022,TV-PG,2 Seasons,"Reality TV"
s210,Movie,Outback Legends,Susan Parker,Australia,"May 8, 2019",2019,TV-14,99 min,"Action & Adventure, International Movies"
s211,Movie,Night Market,Soo-yeon Park,South Korea,"August 14, 2022",2022,TV-PG,105 min,"Comedies, International Movies"
s212,TV Show,Phantom Protocol,Mark Evans,United States,"November 7, 2020",2020,TV-MA,4 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy"
s213,Movie,The Last Dance,Julie Adams,United States,"February 3, 2021",2021,PG,100 min,"Dramas, Music & Musicals"
s214,Movie,Chasing Gold,Benjamin Turner,United States,"April 20, 2022",2022,TV-PG,92 min,"Documentaries"
s215,TV Show,The Neighborhood Watch,,United States,"July 6, 2020",2020,TV-14,3 Seasons,"TV Comedies"
s216,Movie,Amazon River Tales,Stephanie Collins,Brazil,"October 17, 2021",2021,TV-PG,95 min,"Documentaries, International Movies"
s217,Movie,Wildfire,Carlos Hernandez,United States,"December 11, 2019",2019,PG-13,108 min,"Action & Adventure, Dramas"
s218,TV Show,Digital Age,Ashley Stewart,United States,"March 28, 2022",2022,TV-14,1 Season,"TV Dramas"
s219,Movie,The Oath,Peter Morris,United Kingdom,"June 16, 2021",2021,R,114 min,"Thrillers, Dramas"
s220,Movie,Midnight Express Lane,Rachel Morgan,United States,"September 22, 2020",2020,TV-MA,91 min,"Comedies"
s221,TV Show,Treasure Hunters,,United States,"January 9, 2023",2022,TV-PG,2 Seasons,"Reality TV, TV Action & Adventure"
s222,Movie,The Gardener,Tyler Reed,France,"May 14, 2019",2019,TV-14,97 min,"Dramas, International Movies"
s223,Movie,Operation Nightfall,Natalie Cook,United States,"August 27, 2022",2022,R,120 min,"Action & Adventure, Thrillers"
s224,TV Show,The Bakery,Jason Rogers,United States,"November 14, 2020",2020,TV-G,3 Seasons,"TV Comedies"
s225,Movie,Saffron Dreams,Sanjay Gupta,India,"February 19, 2021",2021,TV-14,140 min,"Dramas, International Movies, Romantic Movies"
